segment,customers,revenue,avg_revenue,avg_frequency,avg_recency,revenue_share
At Risk High Value,8465,2364579.16,279.33599054932074,1.0,393.86284701712935,17.884351231057284
Other,25284,2310909.37,91.39809246954596,1.0260243632336656,317.16484733428257,17.47842302569448
At Risk Loyal,14803,2158022.69,145.78279335269877,1.0720799837870703,394.93393231101805,16.322073883350576
Champions,6517,1785868.12,274.03224182906246,1.1710909927880926,91.46217584778272,13.507305338184555
High Value New,5982,1582172.33,264.48885489802745,1.0,91.71965897693079,11.966664570358587
Loyal Customers,15932,1536320.83,96.42987886015567,1.0175746924428823,89.92555862415264,11.619869527780768
New / Promising,16375,1483625.61,90.60309068702291,1.0,148.81807633587786,11.221312423573762
